"zip","population"
11436,18681
11213,62426
11212,83866
11225,56527
11218,72280
11226,106132
11219,92561
11210,67067
11230,80857
11204,77354
10471,23477
10470,14740
10466,68942
10467,97932
10463,70641
10475,40931
10464,4438
10469,65101
10468,72877
10463,70641
10458,79362
10034,39149
10033,54284
10462,75674
10040,41033
10453,77576
10465,42012
10464,4438
10464,4438
10461,50549
10457,70253
10460,56670
10032,57606
10452,76104
10456,89390
10472,66356
10031,57010
10039,24234
10459,46804
10451,44140
10473,58284
10030,26720
10027,58639
10474,12281
10455,39834
10037,16931
10024,58521
10454,37466
10026,34313
10035,34884
10048,0
10025,96054
11357,38944
10029,77503
83,25
11356,23379
11359,0
11360,18973
11105,36906
10128,55748
10023,62800
11363,7060
10028,47530
11354,58525
11102,33944
11370,40591
10021,45299
11358,37743
11362,17707
10044,11661
11369,38116
11103,38234
11106,38665
11368,109069
11377,90852
11355,82809
11101,26254
11364,33937
10018,5503
10020,0
11005,3533
10017,15918
10001,22413
10011,50594
10016,54606
11104,27127
11109,2752
10010,29881
11367,41773
10014,31328
10003,55878
11222,36315
10002,81305
11378,35473
10009,61455
10012,24276
10013,27985
10007,7323
11237,49335
11385,98436
10038,19127
11206,83575
10006,3011
11412,35019
10005,8107
11251,74
10004,2187
11411,18216
11201,53041
10004,2187
11205,41125
11208,94410
11207,93556
10004,2187
10004,2187
11413,39349
11217,36615
11238,46664
11231,33144
11422,30139
11420,44538
11417,28562
11215,63272
11231,33144
11232,29521
11430,16
11203,78060
11239,12562
11236,94480
11220,97257
10301,40438
10303,27048
11234,85853
10302,18123
11693,11052
11209,69255
10304,41502
10314,85430
11228,43080
11096,147
10305,41746
11229,79608
11214,89061
11691,60267
11096,147
11223,79864
11693,11052
11692,18018
11235,76130
11693,11052
10306,55602
11694,20163
11224,49600
10308,27612
11697,4079
10312,58506
10309,33114
10307,14096
10280,3170
11372,66636
11004,11776
11040,2349
11426,20050
11365,40528
11001,3944
11375,68555
11427,21942
11374,42755
11366,13168
11423,30243
11428,18818
11432,62075
11379,35428
11429,25116
11435,53404
11415,18990
11418,36607
11433,33679
11451,0
11221,80232
11421,39014
11419,47054
11434,57989
11216,53862
11416,25423
11233,66737
10055,12
10019,41966
10111,0
10153,0
10154,0
10152,0
10115,0
10022,33135
11370,40591
10065,33459
10075,25203
10069,5850
10281,4017
10282,4139
11211,60861
11373,101282
10279,0
10165,0
10168,0
10105,0
10118,0
10176,0
10170,0
10112,0
10122,0
10107,0
10103,0
10174,0
10166,0
10169,0
10167,0
10177,0
10172,0
10171,0
10270,0
10104,0
10271,0
10110,0
10175,0
10151,0
10173,0
10178,0
10121,0
10123,0
10106,0
10158,0
10041,0
10120,0
10278,0
10155,0
10043,0
10081,0
10096,0
10097,0
10196,0
10196,0
10275,0
10265,0
10045,0
10047,0
10047,0
10080,0
10203,0
10259,0
10260,0
10285,0
10286,0
10035,34884
11371,0
11361,28496
10036,23543
11414,26148
10310,25003
11693,11052
11249,28481
10162,0
10119,0
